date,gross,person,shared,sas,description,cat,account,exclude_from_budget,sav_account_only,tag,area,comments
01/10/2015,2134.657325,s,,,Salary 4,Salary,,,,,,
05/10/2015,-326.620,s,,,Cloath/beauty store 133,Cloathing&Beauty,,,,,,
06/10/2015,-0.590,s,,,Cloath/beauty store 123,Cloathing&Beauty,,,,,,
06/10/2015,-23.440,s,,,Trenitalia,Transportation,,,,,,
06/10/2015,-80.350,s,,,Trenitalia,Transportation,,,,,,
06/10/2015,-283.070,s,,,Cloath/beauty store 279,Cloathing&Beauty,,,,,,
07/10/2015,-179.210,s,,,Trenitalia,Transportation,,,,,,
08/10/2015,-73.420,s,,,Cloath/beauty store 134,Cloathing&Beauty,,,,,,
13/10/2015,9990.110592,s,,,Salary 4,Salary,,,,,,
26/10/2015,-227.620,s,,,Iperdì,Groceries,,,,,,
28/10/2015,-117.550,s,,,Wind,Subscriptions,,,,,,
28/10/2015,4619.70432,s,,,Salary 4,Salary,,,,,,
29/10/2015,263.840,s,,,Cloath/beauty store 96,Cloathing&Beauty,,,,,,
29/10/2015,-258.220,s,,,Trenitalia,Transportation,,,,,,
29/10/2015,-289.050,s,,,Trenitalia,Transportation,,,,,,
02/11/2015,-16.170,s,,,Carrefour,Groceries,,,,,,
02/11/2015,-19.460,s,,,Trenitalia,Transportation,,,,,,
04/11/2015,-21.090,s,,,Unes,Groceries,,,,,,
05/11/2015,-64.950,s,,,Trenitalia,Transportation,,,,,,
05/11/2015,-72.990,s,,,Trenitalia,Transportation,,,,,,
05/11/2015,-77.000,s,,,Trenitalia,Transportation,,,,,,
05/11/2015,-91.740,s,,,Trenitalia,Transportation,,,,,,
05/11/2015,-123.880,s,,,Trenitalia,Transportation,,,,,,
13/11/2015,-699.700,s,,,Cloath/beauty store 171,Cloathing&Beauty,,,,,,
17/11/2015,-165.090,s,,,Carrefour,Groceries,,,,,,
18/11/2015,-390.260,s,,,Cloath/beauty store 285,Cloathing&Beauty,,,,,,
23/11/2015,-26.110,s,,,Trenitalia,Transportation,,,,,,
23/11/2015,-141.660,s,,,Café/restaurant 162,Café&restaurant,,,,,,
27/11/2015,-53.570,s,,,x-ray,Health,,,,,,
27/11/2015,-333.310,s,,,Café/restaurant 60,Café&restaurant,,,,,,
30/11/2015,-111.150,s,,,Trenitalia,Transportation,,,,,,
30/11/2015,-167.790,s,,,Iperdì,Groceries,,,,,,
30/11/2015,-257.700,s,,,Cloath/beauty store 354,Cloathing&Beauty,,,,,,
30/11/2015,-375.650,s,,,Trenitalia,Transportation,,,,,,
02/12/2015,-20.290,s,,,Cloath/beauty store 103,Cloathing&Beauty,,,,,,
03/12/2015,-42.180,s,,,Trenitalia,Transportation,,,,,,
03/12/2015,-95.750,s,,,Trenitalia,Transportation,,,,,,
07/12/2015,-196.420,s,,,Wind,Subscriptions,,,,,,
09/12/2015,-57.590,s,,,Trenitalia,Transportation,,,,,,
14/12/2015,-268.550,s,,,Carrefour,Groceries,,,,,,
16/12/2015,-111.500,s,,,Carrefour,Groceries,,,,,,
18/12/2015,-84.820,s,,,Trenitalia,Transportation,,,,,,
18/12/2015,-105.800,s,,,Trenitalia,Transportation,,,,,,
18/12/2015,-135.490,s,,,Present,Present,,,,,,
18/12/2015,-546.180,s,,,Cloath/beauty store 66,Cloathing&Beauty,,,,,,
21/12/2015,-77.000,s,,,Cloath/beauty store 317,Cloathing&Beauty,,,,,,
23/12/2015,-156.450,s,,,Present,Present,,,,,,
28/12/2015,-26.780,s,,,Wind,Subscriptions,,,,,,
29/12/2015,-132.580,s,,,Trenitalia,Transportation,,,,,,
07/01/2016,960.4359072,s,,,Salary 4,Salary,,,,,,
11/01/2016,-116.010,s,,,Cloath/beauty store 232,Cloathing&Beauty,,,,,,
12/01/2016,-12.050,s,,,Trenitalia,Transportation,,,,,,
12/01/2016,-185.640,s,,,Cloath/beauty store 184,Cloathing&Beauty,,,,,,
18/01/2016,-238.080,s,,,wind,Subscriptions,,,,,,
20/01/2016,-3.350,s,,,Trenitalia,Transportation,,,,,,
20/01/2016,-39.060,s,,,Carrefour,Groceries,,,,,,
20/01/2016,-157.280,s,,,Trenitalia,Transportation,,,,,,
21/01/2016,-101.110,s,,,Trenitalia,Transportation,,,,,,
21/01/2016,1085.630515,s,,,Salary 4,Salary,,,,,,
25/01/2016,-93.740,s,,,Trenitalia,Transportation,,,,,,
27/01/2016,-81.240,s,,,Trenitalia,Transportation,,,,,,
03/02/2016,-131.240,s,,,Trenitalia,Transportation,,,,,,
08/02/2016,-26.110,s,,,Trenitalia,Transportation,,,,,,
08/02/2016,866.19456,s,,,Salary 4,Salary,,,,,,
22/02/2016,-97.090,s,,,Trenitalia,Transportation,,,,,,
24/02/2016,-18.480,s,,,Café/restaurant 205,Café&restaurant,,,,,,
26/02/2016,-11.380,s,,,Trenitalia,Transportation,,,,,,
26/02/2016,-76.330,s,,,Trenitalia,Transportation,,,,,,
26/02/2016,-191.950,s,,,Wind,Subscriptions,,,,,,
01/03/2016,-83.030,s,,,Trenitalia,Transportation,,,,,,
09/03/2016,-13.390,s,,,Trenitalia,Transportation,,,,,,
21/03/2016,-38.540,s,,,Trenitalia,Transportation,,,,,,
21/03/2016,-50.360,s,,,Cloath/beauty store 272,Cloathing&Beauty,,,,,,
21/03/2016,-346.120,s,,,Iperdì,Groceries,,,,,,
21/03/2016,808.448256,s,,,Salary 4,Salary,,,,,,
22/03/2016,-80.220,s,,,Cloath/beauty store 357,Cloathing&Beauty,,,,,,
22/03/2016,-150.290,s,,,Wind,Subscriptions,,,,,,
29/03/2016,2494.640333,s,,,Salary 4,Salary,,,,,,
30/03/2016,-48.210,s,,,Trenitalia,Transportation,,,,,,
31/03/2016,-7.230,s,,,Farmacia,Health,,,,,,
31/03/2016,-44.190,s,,,Trenitalia,Transportation,,,,,,
04/04/2016,-249.060,s,,,Cloath/beauty store 86,Cloathing&Beauty,,,,,,
05/04/2016,-55.160,s,,,Iperdì,Groceries,,,,,,
06/04/2016,-44.190,s,,,Trenitalia,Transportation,,,,,,
06/04/2016,-54.240,s,,,Trenitalia,Transportation,,,,,,
07/04/2016,-53.570,s,,,Trenitalia,Transportation,,,,,,
07/04/2016,-80.200,s,,,Trenitalia,Transportation,,,,,,
07/04/2016,-108.480,s,,,Trenitalia,Transportation,,,,,,
07/04/2016,-110.480,s,,,Trenitalia,Transportation,,,,,,
07/04/2016,1432.108339,s,,,Salary 4,Salary,,,,,,
28/04/2016,-10.600,s,,,Trenitalia,Transportation,,,,,,
28/04/2016,-43.520,s,,,Iperdì,Groceries,,,,,,
29/04/2016,-57.290,s,,,Wind,Subscriptions,,,,,,
29/04/2016,-62.940,s,,,Trenitalia,Transportation,,,,,,
04/05/2016,1570.699469,s,,,Salary 4,Salary,,,,,,
09/05/2016,-10.710,s,,,Trenitalia,Transportation,,,,,,
09/05/2016,-93.740,s,,,Trenitalia,Transportation,,,,,,
09/05/2016,-108.480,s,,,Trenitalia,Transportation,,,,,,
09/05/2016,-146.450,s,,,Trenitalia,Transportation,,,,,,
11/05/2016,-1.490,s,,,Cloath/beauty store 61,Cloathing&Beauty,,,,,,
12/05/2016,2275.204378,s,,,Salary 4,Salary,,,,,,
13/05/2016,-2.980,s,,,Wind,Subscriptions,,,,,,
18/05/2016,-108.610,s,,,Iperfamila,Groceries,,,,,,
18/05/2016,-130.570,s,,,Trenitalia,Transportation,,,,,,
20/05/2016,1499.090947,s,,,Salary 4,Salary,,,,,,
11/07/2016,-6.100,s,,,Cloath/beauty store 157,Cloathing&Beauty,,,,,,
12/07/2016,-36.450,s,,,Unes,Groceries,,,,,,
12/07/2016,-73.660,s,,,Trenitalia,Transportation,,,,,,
19/07/2016,-128.260,s,,,Cloath/beauty store 95,Cloathing&Beauty,,,,,,
20/07/2016,-40.850,s,,,Iperdì,Groceries,,,,,,
21/07/2016,-14.730,s,,,Trenitalia,Transportation,,,,,,
25/07/2016,332.530,s,,,Cloath/beauty store 283,Cloathing&Beauty,,,,,,
01/08/2016,-107.280,s,,,Cloath/beauty store 423,Cloathing&Beauty,,,,,,
02/08/2016,-184.050,s,,,Cloath/beauty store 30,Cloathing&Beauty,,,,,,
10/08/2016,-667.000,s,,,Cloath/beauty store 8,Cloathing&Beauty,,,,,,
16/08/2016,-628.200,s,,,Cloath/beauty store 350,Cloathing&Beauty,,,,,,
17/08/2016,2291.379552,s,,,Salary 4,Salary,,,,,,
18/08/2016,-69.590,s,,,Trenitalia,Transportation,,,,,,
18/08/2016,-229.300,s,,,Trenitalia,Transportation,,,,,,
23/08/2016,-22.500,s,,,Trenitalia,Transportation,,,,,,
24/08/2016,-7.590,s,,,Toll,Transportation,,,,,,
02/09/2016,222.290,s,,,Cloath/beauty store 100,Cloathing&Beauty,,,,,,
12/09/2016,-6.030,s,,,Café/restaurant 241,Café&restaurant,,,,,,
12/09/2016,-12.860,s,,,Trenitalia,Transportation,,,,,,
12/09/2016,-24.510,s,,,Trenitalia,Transportation,,,,,,
04/10/2016,-105.460,s,,,Trenitalia,Transportation,,,,,,
21/10/2016,654.2718336,s,,,Salary 5,Salary,,,,,,
24/10/2016,-5.000,s,,,Trenitalia,Transportation,,,,,,
26/10/2016,-62.500,s,,,Wind,Subscriptions,,,,,,
14/11/2016,-54.510,s,,,Trenitalia,Transportation,,,,,,
14/11/2016,-113.440,s,,,Trenitalia,Transportation,,,,,,
05/12/2016,-13.020,s,,,Wind,Subscriptions,,,,,,
09/12/2016,-278.700,s,,,Ticketland,Entertainment,,,,,,
09/12/2016,-639.720,s,,,Present,Present,,,,,,
15/12/2016,14413.47748,s,,,Salary 3,Salary,,,,,,
16/12/2016,-35.580,s,,,Ticketland,Entertainment,,,,,,
19/12/2016,-83.040,s,,,Cloath/beauty store 5,Cloathing&Beauty,,,,,,
19/12/2016,-1124.930,s,,,Musei Vaticani,Entertainment,,,,,,
29/12/2016,-41.660,s,,,Wind,Subscriptions,,,,,,
10/01/2017,-0.990,s,,,Cloath/beauty store 292,Cloathing&Beauty,,,,,,
10/01/2017,-18.020,s,,,Playstore Android,Subscriptions,,,,,,
12/01/2017,-1.240,s,,,Cloath/beauty store 366,Cloathing&Beauty,,,,,,
12/01/2017,-113.830,s,,,Wind,Subscriptions,,,,,,
13/01/2017,28272.59044,s,,,Salary 3,Salary,,,,,,
19/01/2017,-240.880,s,,,Cloath/beauty store 226,Cloathing&Beauty,,,,,,
30/01/2017,-527.310,s,,,Cloath/beauty store 270,Cloathing&Beauty,,,,,,
31/01/2017,-33.850,s,,,Wind,Subscriptions,,,,,,
02/02/2017,-241.120,s,,,Cloath/beauty store 426,Cloathing&Beauty,,,,,,
06/02/2017,-246.640,s,,,Cloath/beauty store 149,Cloathing&Beauty,,,,,,
13/02/2017,-73.430,s,,,Cloath/beauty store 284,Cloathing&Beauty,,,,,,
20/02/2017,73.910,s,,,Cloath/beauty store 214,Cloathing&Beauty,,,,,,
03/03/2017,-8.900,s,,,Cloath/beauty store 344,Cloathing&Beauty,,,,,,
06/03/2017,-25.590,s,,,Wind,Subscriptions,,,,,,
06/03/2017,-51.340,s,,,Wind,Subscriptions,,,,,,
07/03/2017,-236.030,s,,,Cloath/beauty store 470,Cloathing&Beauty,,,,,,
13/03/2017,-1.160,s,,,Fee currency conversion,Subscriptions,,,,,,
13/03/2017,-143.590,s,,,Wind,Subscriptions,,,,,,
13/03/2017,-166.970,s,,,Cloath/beauty store 25,Cloathing&Beauty,,,,,,
24/03/2017,-112.340,s,,,Wind,Subscriptions,,,,,,
30/03/2017,-87.160,s,,,Cloath/beauty store 71,Cloathing&Beauty,,,,,,
12/04/2017,-312.480,s,,,Cloath/beauty store 73,Cloathing&Beauty,,,,,,
12/04/2017,-623.170,s,,,Trenitalia,Transportation,,,,,,
18/04/2017,-41.850,s,,,Cloath/beauty store 432,Cloathing&Beauty,,,,,,
18/04/2017,-451.020,s,,,Ticketscript - Shade festival,Entertainment,,,,,,
24/04/2017,-227.350,s,,,Cloath/beauty store 451,Cloathing&Beauty,,,,,,
02/05/2017,-49.220,s,,,Autostrada,Transportation,,,,,,
02/05/2017,-161.610,s,,,Cloath/beauty store 128,Cloathing&Beauty,,,,,,
02/05/2017,-1513.970,s,,,Cloath/beauty store 235,Cloathing&Beauty,,,,,,
04/05/2017,-146.240,s,,,Trenitalia,Transportation,,,,,,
05/05/2017,-51.430,s,,,Cloath/beauty store 427,Cloathing&Beauty,,,,,,
05/05/2017,230.985216,s,,,Salary 9,Salary,,,,,,
08/05/2017,-3.930,s,,,Rejsekort,Transportation,,,,,,
10/05/2017,-138.380,s,,,Wind,Subscriptions,,,,,,
10/05/2017,-212.540,s,,,Rejsekort,Transportation,,,,,,
10/05/2017,-276.640,s,,,Ryanair,Flights,,,,,,
12/05/2017,-0.660,s,,,Rejsekort,Transportation,,,,,,
12/05/2017,-4.550,s,,,Rejsekort,Transportation,,,,,,
12/05/2017,-98.990,s,,,Rejsekort,Transportation,,,,,,
15/05/2017,-108.030,s,,,Rejsekort,Transportation,,,,,,
15/05/2017,-4106.950,s,,,Ryanair,Flights,,,,,,
19/05/2017,-3.470,s,,,Rejsekort,Transportation,,,,,,
22/05/2017,-5.530,s,,,Rejsekort,Transportation,,,,,,
22/05/2017,-135.990,s,,,Rejsekort,Transportation,,,,,,
24/05/2017,-13.070,s,,,Fee currency conversion,Subscriptions,,,,,,
24/05/2017,-329.850,s,,,Rejsekort,Transportation,,,,,,
24/05/2017,-656.650,s,,,DSB card,Transportation,,,,,,
26/05/2017,184.7881728,s,,,Salary 5,Salary,,x,,,,
31/05/2017,927.2938752,s,,,Salary 1,Salary,,,,,,
02/06/2017,-7.370,s,,,Fotex,Groceries,,,,,,
02/06/2017,-84.000,s,,,Rejsekort,Transportation,,,,,,
06/06/2017,-9.600,s,,,Café/restaurant 400,Café&restaurant,,,,,,
06/06/2017,-26.880,s,,,Café/restaurant 481,Café&restaurant,,,,,,
06/06/2017,-33.040,s,,,Café/restaurant 145,Café&restaurant,,,,,,
06/06/2017,-40.200,s,,,Café/restaurant 143,Café&restaurant,,,,,,
06/06/2017,-57.050,s,,,Café/restaurant 193,Café&restaurant,,,,,,
06/06/2017,-64.480,s,,,Café/restaurant 242,Café&restaurant,,,,,,
06/06/2017,-81.000,s,,,Lebara,Subscriptions,,,,,,
06/06/2017,-110.700,s,,,Café/restaurant 203,Café&restaurant,,,,,,
06/06/2017,-122.850,s,,,Vor Frelsers Kirke,Entertainment,,,,,,
06/06/2017,-163.170,s,,,Café/restaurant 47,Café&restaurant,,,,,,
06/06/2017,-195.840,s,,,Fotex,Groceries,,,,,,
06/06/2017,-230.400,s,,,Café/restaurant 192,Café&restaurant,,,,,,
06/06/2017,-450.800,s,,,DSB card,Transportation,,,,,,
06/06/2017,-470.400,s,,,Kanal tour,Entertainment,,,,,,
07/06/2017,-521.640,s,,,CitySightseeing,Entertainment,,,,,,
08/06/2017,-93.150,s,,,Bilka,Groceries,,,,,,
09/06/2017,-5.950,s,,,Cloath/beauty store 378,Cloathing&Beauty,,,,,,
09/06/2017,-32.000,s,,,Café/restaurant 143,Café&restaurant,,,,,,
09/06/2017,-170.290,s,,,Fotex,Groceries,,,,,,
12/06/2017,-3.200,s,,,Bar 114,Bar&cocktails,,,,,,
12/06/2017,-16.500,s,,,Netto,Groceries,,,,,,
12/06/2017,-39.100,s,,,Bar 8,Bar&cocktails,,,,,,
12/06/2017,-41.000,s,,,Bar 52,Bar&cocktails,,,,,,
12/06/2017,-56.950,s,,,Bar 48,Bar&cocktails,,,,,,
12/06/2017,-421.670,s,,,Fotex,Groceries,,,,,,
13/06/2017,-128.000,s,,,Lebara,Subscriptions,,,,,,
15/06/2017,-94.380,s,,,Café/restaurant 208,Café&restaurant,,,,,,
16/06/2017,-168.000,s,,,Lebara,Subscriptions,,,,,,
16/06/2017,-320.600,s,,,Bilka,Groceries,,,,,,
16/06/2017,-1178.380,s,,,Express VPN,Subscriptions,,,,,,
17/06/2017,-63.000,s,,,Present,Present,,,,,,
18/06/2017,-0.900,s,,,Café/restaurant 96,Café&restaurant,,,,,,
19/06/2017,-4.200,s,,,Café/restaurant 353,Café&restaurant,,,,,,
19/06/2017,-6.600,s,,,Café/restaurant 18,Café&restaurant,,,,,,
19/06/2017,-11.070,s,,,Café/restaurant 432,Café&restaurant,,,,,,
19/06/2017,-32.130,s,,,Café/restaurant 349,Café&restaurant,,,,,,
19/06/2017,-33.400,s,,,Cloath/beauty store 27,Cloathing&Beauty,,,,,,
19/06/2017,-42.000,s,,,Tivoli,Entertainment,,,,,,
19/06/2017,-46.000,s,,,Netto,Groceries,,,,,,
19/06/2017,-48.000,s,,,Tivoli,Entertainment,,,,,,
19/06/2017,-66.960,s,,,Cloath/beauty store 446,Cloathing&Beauty,,,,,,
19/06/2017,-78.400,s,,,Café/restaurant 473,Café&restaurant,,,,,,
19/06/2017,-147.000,s,,,Rejsekort,Transportation,,,,,,
19/06/2017,-148.750,s,,,Café/restaurant 117,Café&restaurant,,,,,,
19/06/2017,-163.800,s,,,Bike rent,Entertainment,,,,,,
19/06/2017,-178.200,s,,,Café/restaurant 16,Café&restaurant,,,,,,
19/06/2017,-205.700,s,,,Café/restaurant 447,Café&restaurant,,,,,,
19/06/2017,-362.100,s,,,Bar 41,Bar&cocktails,,,,,,
20/06/2017,-751.910,s,,,Cloath/beauty store 328,Cloathing&Beauty,,,,,,
22/06/2017,-9.460,s,,,Fotex,Groceries,,,,,,
26/06/2017,-4.200,s,,,Bar 144,Bar&cocktails,,,,,,
26/06/2017,-8.500,s,,,Bar 13,Bar&cocktails,,,,,,
26/06/2017,-62.050,s,,,Fotex,Groceries,,,,,,
26/06/2017,-67.050,s,,,Café/restaurant 287,Café&restaurant,,,,,,
26/06/2017,-98.250,s,,,Bar 145,Bar&cocktails,,,,,,
26/06/2017,-188.030,s,,,Fotex,Groceries,,,,,,
27/06/2017,-50.000,s,,,Bar 114,Bar&cocktails,,,,,,
27/06/2017,-273.750,s,,,DSB card,Transportation,,,,,,
29/06/2017,-0.920,s,,,Café/restaurant 314,Café&restaurant,,,,,,
29/06/2017,-280.180,s,,,Cloath/beauty store 475,Cloathing&Beauty,,,,,,
30/06/2017,6294.502368,s,,,Salary 1,Salary,,,,,,
03/07/2017,-6.250,s,,,Bar 108,Bar&cocktails,,,,,,
03/07/2017,-17.700,s,,,Café/restaurant 44,Café&restaurant,,,,,,
03/07/2017,-36.750,s,,,Bar 33,Bar&cocktails,,,,,,
03/07/2017,-41.920,s,,,Bar 132,Bar&cocktails,,,,,,
03/07/2017,-215.050,s,,,Bar 92,Bar&cocktails,,,,,,
03/07/2017,-271.000,s,,,Fotex,Groceries,,,,,,
03/07/2017,-665.000,s,,,Café/restaurant 397,Café&restaurant,,,,,,
03/07/2017,-686.090,s,,,Cloath/beauty store 171,Cloathing&Beauty,,,,,,
04/07/2017,-99.340,s,,,Coop,Groceries,,,,,,
04/07/2017,-169.040,s,,,Cloath/beauty store 234,Cloathing&Beauty,,,,,,
06/07/2017,-703.000,s,,,Cloath/beauty store 172,Cloathing&Beauty,,,,,,
07/07/2017,-13.000,s,,,Present,Present,,,,,,
10/07/2017,-24.150,s,,,Café/restaurant 211,Café&restaurant,,,,,,
10/07/2017,-42.300,s,,,Café/restaurant 346,Café&restaurant,,,,,,
10/07/2017,-539.150,s,,,Cloath/beauty store 368,Cloathing&Beauty,,,,,,
12/07/2017,-68.960,s,,,Cloath/beauty store 293,Cloathing&Beauty,,,,,,
12/07/2017,6282.797875,s,,,Salary 8,Salary,,,,,,
13/07/2017,-113.620,s,,,Cloath/beauty store 4,Cloathing&Beauty,,,,,,
13/07/2017,-297.560,s,,,Cloath/beauty store 322,Cloathing&Beauty,,,,,,
13/07/2017,-727.400,s,,,Cloath/beauty store 429,Cloathing&Beauty,,,,,,
14/07/2017,-59.520,s,,,Shuttle,Transportation,,,,,,
17/07/2017,-38.390,s,,,Trenitalia,Transportation,,,,,,
17/07/2017,-39.580,s,,,Shuttle,Transportation,,,,,,
17/07/2017,-71.140,s,,,Amazon - mountain equipment,Sport,,,,,,
17/07/2017,-101.990,s,,,Fotex,Groceries,,,,,,
17/07/2017,-142.850,s,,,Trenitalia,Transportation,,,,,,
17/07/2017,-580.230,s,,,Cloath/beauty store 432,Cloathing&Beauty,,,,,,
20/07/2017,-23.740,s,,,Fotex,Groceries,,,,,,
24/07/2017,-5.500,s,,,Tivoli,Entertainment,,,,,,
24/07/2017,-9.600,s,,,Café/restaurant 8,Café&restaurant,,,,,,
24/07/2017,-21.600,s,,,Bar 98,Bar&cocktails,,,,,,
24/07/2017,-23.500,s,,,Tivoli,Entertainment,,,,,,
24/07/2017,-27.500,s,,,Bar 71,Bar&cocktails,,,,,,
24/07/2017,-72.900,s,,,Café/restaurant 113,Café&restaurant,,,,,,
24/07/2017,-97.880,s,,,Amazon - mountain equipment,Sport,,,,,,
24/07/2017,-181.200,s,,,Tivoli,Entertainment,,,,,,
24/07/2017,-195.030,s,,,Café/restaurant 310,Café&restaurant,,,,,,
24/07/2017,-1131.000,s,,,Tivoli card,Entertainment,,,,,,
25/07/2017,-83.400,s,,,Café/restaurant 448,Café&restaurant,,,,,,
25/07/2017,-107.000,s,,,Present,Present,,,,,,
26/07/2017,-0.740,s,,,Wind,Subscriptions,,,,,,
26/07/2017,-7.350,s,,,Fotex,Groceries,,,,,,
26/07/2017,-1274.840,s,,,Amazon - mountain equipment,Sport,,,,,,
27/07/2017,-2.700,s,,,Café/restaurant 261,Café&restaurant,,,,,,
27/07/2017,-363.750,s,,,DSB card,Transportation,,,,,,
31/07/2017,-1.190,s,,,Café/restaurant 29,Café&restaurant,,,,,,
31/07/2017,-38.520,s,,,Fotex,Groceries,,,,,,
31/07/2017,-80.990,s,,,Rejsekort,Transportation,,,,,,
31/07/2017,-135.800,s,,,Café/restaurant 167,Café&restaurant,,,,,,
31/07/2017,26802.41921,s,,,Salary 1,Salary,,,,,,
01/08/2017,-2.380,s,,,Wind,Subscriptions,,,,,,
01/08/2017,-4.170,s,,,Wind,Subscriptions,,,,,,
01/08/2017,-5.560,s,,,Café/restaurant 338,Café&restaurant,,,,,,
01/08/2017,-6.750,s,,,Café/restaurant 385,Café&restaurant,,,,,,
01/08/2017,-8.160,s,,,Bus,Transportation,,,,,,
01/08/2017,-19.640,s,,,Café/restaurant 243,Café&restaurant,,,,,,
01/08/2017,-93.080,s,,,Swebus,Transportation,,,,,,
01/08/2017,-133.320,s,,,Café/restaurant 386,Café&restaurant,,,,,,
01/08/2017,-156.800,s,,,Café/restaurant 246,Café&restaurant,,,,,,
01/08/2017,-214.700,s,,,Café/restaurant 9,Café&restaurant,,,,,,
01/08/2017,-263.380,s,,,Cloath/beauty store 346,Cloathing&Beauty,,,,,,
02/08/2017,-86.900,s,,,Café/restaurant 209,Café&restaurant,,,,,,
03/08/2017,12805.81727,s,,,Salary 6,Salary,,x,,,,
07/08/2017,-19.000,s,,,Café/restaurant 114,Café&restaurant,,,,,,
07/08/2017,-37.200,s,,,Bar 58,Bar&cocktails,,,,,,
07/08/2017,-39.700,s,,,Fotex,Groceries,,,,,,
07/08/2017,-41.250,s,,,Bar 73,Bar&cocktails,,,,,,
07/08/2017,-107.680,s,,,Fotex,Groceries,,,,,,
10/08/2017,-48.110,s,,,Fotex,Groceries,,,,,,
14/08/2017,-5.710,s,,,Café/restaurant 238,Café&restaurant,,,,,,
14/08/2017,-13.280,s,,,Café/restaurant 369,Café&restaurant,,,,,,
14/08/2017,-29.400,s,,,Café/restaurant 468,Café&restaurant,,,,,,
14/08/2017,-161.000,s,,,Rejsekort,Transportation,,,,,,
14/08/2017,-7986.000,s,,,Savings,Savings,,,,,,
